100	0.0011071352	0.1345471545
200	-0.0010466724	0.1001796082
300	-0.0027133437	0.0832457428
400	0.017476319	0.0747292391
500	0.0121129655	0.0665248545
600	0.0093135288	0.0598999969
700	0.0118367378	0.0560287753
800	0.0082557323	0.0527934726
900	0.0073834745	0.0503467282
1000	0.0116493381	0.0490059275
1100	0.0080403704	0.0461942522
1200	0.0048927528	0.0442742571
1300	0.0153376334	0.0513118928
1400	0.0162280677	0.0503910145
1500	0.015532894	0.0494361284
1600	0.0138052579	0.0482933212
1700	0.0167906145	0.0487768453
1800	0.0169392089	0.0484025083
1900	0.016897932	0.0478561087
2000	0.0157055652	0.0468644328
2500	0.0114057806	0.0422543369
3000	0.0162789601	0.044687246
	
